floor;number;occupied
0;001;FALSE
0;002;FALSE
0;003;TRUE
0;004;TRUE
0;005;FALSE
0;006;TRUE
0;007;TRUE
0;008;FALSE
0;009;TRUE
0;010;TRUE
0;011;TRUE
0;012;FALSE
0;013;FALSE
0;014;TRUE
0;015;TRUE
0;016;FALSE
0;017;FALSE
0;018;FALSE
0;019;FALSE
0;020;TRUE
0;021;FALSE
0;022;FALSE
0;023;FALSE
0;024;FALSE
0;025;FALSE
0;026;FALSE
0;027;FALSE
0;028;TRUE
0;029;FALSE
0;030;FALSE
0;031;TRUE
0;032;TRUE
0;033;FALSE
0;034;FALSE
0;035;TRUE
0;036;TRUE
0;037;TRUE
0;038;TRUE
0;039;FALSE
0;040;FALSE
0;041;FALSE
0;042;TRUE
0;043;TRUE
0;044;TRUE
0;045;FALSE
0;046;FALSE
0;047;FALSE
0;048;FALSE
0;049;TRUE
0;050;FALSE
1;101;FALSE
1;102;TRUE
1;103;TRUE
1;104;TRUE
1;105;FALSE
1;106;TRUE
1;107;FALSE
1;108;FALSE
1;109;TRUE
1;110;FALSE
1;111;FALSE
1;112;TRUE
1;113;FALSE
1;114;TRUE
1;115;TRUE
1;116;FALSE
1;117;FALSE
1;118;FALSE
1;119;TRUE
1;120;FALSE
1;121;TRUE
1;122;FALSE
1;123;FALSE
1;124;FALSE
1;125;FALSE
1;126;FALSE
1;127;FALSE
1;128;FALSE
1;129;FALSE
1;130;FALSE
1;131;TRUE
1;132;TRUE
1;133;FALSE
1;134;TRUE
1;135;FALSE
1;136;FALSE
1;137;FALSE
1;138;FALSE
1;139;FALSE
1;140;FALSE
1;141;TRUE
1;142;TRUE
1;143;TRUE
1;144;FALSE
1;145;FALSE
1;146;FALSE
1;147;FALSE
1;148;FALSE
1;149;FALSE
1;150;FALSE
2;201;TRUE
2;202;TRUE
2;203;TRUE
2;204;FALSE
2;205;TRUE
2;206;TRUE
2;207;TRUE
2;208;FALSE
2;209;FALSE
2;210;TRUE
2;211;FALSE
2;212;TRUE
2;213;TRUE
2;214;FALSE
2;215;TRUE
2;216;FALSE
2;217;FALSE
2;218;FALSE
2;219;TRUE
2;220;TRUE
2;221;FALSE
2;222;FALSE
2;223;TRUE
2;224;TRUE
2;225;FALSE
2;226;TRUE
2;227;FALSE
2;228;FALSE
2;229;FALSE
2;230;TRUE
2;231;FALSE
2;232;TRUE
2;233;FALSE
2;234;TRUE
2;235;FALSE
2;236;FALSE
2;237;TRUE
2;238;FALSE
2;239;TRUE
2;240;TRUE
2;241;TRUE
2;242;TRUE
2;243;FALSE
2;244;FALSE
2;245;FALSE
2;246;TRUE
2;247;TRUE
2;248;FALSE
2;249;TRUE
2;250;FALSE
